Mod:Item:MetaData, Localized Name
extracells:pattern.fluid:0, ME Fluid Pattern: Hydrogen
extracells:pattern.fluid:0, ME Fluid Pattern: Oxygen
extracells:pattern.fluid:0, ME Fluid Pattern: Heavy Water
extracells:pattern.fluid:0, ME Fluid Pattern: Poison
extracells:pattern.fluid:0, ME Fluid Pattern: Amber
extracells:pattern.fluid:0, ME Fluid Pattern: Biomass
extracells:pattern.fluid:0, ME Fluid Pattern: Crystallized Obsidian
extracells:pattern.fluid:0, ME Fluid Pattern: Milk
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid XP
extracells:pattern.fluid:0, ME Fluid Pattern: Oil (§bCool§r)
extracells:pattern.fluid:0, ME Fluid Pattern: Oil (§6Hot§r)
extracells:pattern.fluid:0, ME Fluid Pattern: Oil (§cSearing§r)
extracells:pattern.fluid:0, ME Fluid Pattern: Residue (§bCool§r)
extracells:pattern.fluid:0, ME Fluid Pattern: Residue (§6Hot§r)
extracells:pattern.fluid:0, ME Fluid Pattern: Residue (§cSearing§r)
extracells:pattern.fluid:0, ME Fluid Pattern: Heavy Oil (§bCool§r)
extracells:pattern.fluid:0, ME Fluid Pattern: Heavy Oil (§6Hot§r)
extracells:pattern.fluid:0, ME Fluid Pattern: Heavy Oil (§cSearing§r)
extracells:pattern.fluid:0, ME Fluid Pattern: Dense Oil (§bCool§r)
extracells:pattern.fluid:0, ME Fluid Pattern: Dense Oil (§6Hot§r)
extracells:pattern.fluid:0, ME Fluid Pattern: Dense Oil (§cSearing§r)
extracells:pattern.fluid:0, ME Fluid Pattern: Distilled Oil (§bCool§r)
extracells:pattern.fluid:0, ME Fluid Pattern: Distilled Oil (§6Hot§r)
extracells:pattern.fluid:0, ME Fluid Pattern: Distilled Oil (§cSearing§r)
extracells:pattern.fluid:0, ME Fluid Pattern: Dense Fuel (§bCool§r)
extracells:pattern.fluid:0, ME Fluid Pattern: Dense Fuel (§6Hot§r)
extracells:pattern.fluid:0, ME Fluid Pattern: Dense Fuel (§cSearing§r)
extracells:pattern.fluid:0, ME Fluid Pattern: Mixed Heavy Fuels (§bCool§r)
extracells:pattern.fluid:0, ME Fluid Pattern: Mixed Heavy Fuels (§6Hot§r)
extracells:pattern.fluid:0, ME Fluid Pattern: Mixed Heavy Fuels (§cSearing§r)
extracells:pattern.fluid:0, ME Fluid Pattern: Light Fuel (§bCool§r)
extracells:pattern.fluid:0, ME Fluid Pattern: Light Fuel (§6Hot§r)
extracells:pattern.fluid:0, ME Fluid Pattern: Light Fuel (§cSearing§r)
extracells:pattern.fluid:0, ME Fluid Pattern: Mixed Light Fuels (§bCool§r)
extracells:pattern.fluid:0, ME Fluid Pattern: Mixed Light Fuels (§6Hot§r)
extracells:pattern.fluid:0, ME Fluid Pattern: Mixed Light Fuels (§cSearing§r)
extracells:pattern.fluid:0, ME Fluid Pattern: Gaseous Fuel (§bCool§r)
extracells:pattern.fluid:0, ME Fluid Pattern: Gaseous Fuel (§6Hot§r)
extracells:pattern.fluid:0, ME Fluid Pattern: Gaseous Fuel (§cSearing§r)
extracells:pattern.fluid:0, ME Fluid Pattern: Ethanol
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Glass
extracells:pattern.fluid:0, ME Fluid Pattern: Honey
extracells:pattern.fluid:0, ME Fluid Pattern: Crushed Ice
extracells:pattern.fluid:0, ME Fluid Pattern: Fruit Juice
extracells:pattern.fluid:0, ME Fluid Pattern: Seed Oil
extracells:pattern.fluid:0, ME Fluid Pattern: Short Mead
extracells:pattern.fluid:0, ME Fluid Pattern: Growth Medium
extracells:pattern.fluid:0, ME Fluid Pattern: Bacteria
extracells:pattern.fluid:0, ME Fluid Pattern: Polymerising Bacteria
extracells:pattern.fluid:0, ME Fluid Pattern: Raw DNA
extracells:pattern.fluid:0, ME Fluid Pattern: Bacteria Vector
extracells:pattern.fluid:0, ME Fluid Pattern: Sap
extracells:pattern.fluid:0, ME Fluid Pattern: Resin
extracells:pattern.fluid:0, ME Fluid Pattern: Latex
extracells:pattern.fluid:0, ME Fluid Pattern: Turpentine
extracells:pattern.fluid:0, ME Fluid Pattern: Apple Juice
extracells:pattern.fluid:0, ME Fluid Pattern: Apricot Juice
extracells:pattern.fluid:0, ME Fluid Pattern: Banana Juice
extracells:pattern.fluid:0, ME Fluid Pattern: Cherry Juice
extracells:pattern.fluid:0, ME Fluid Pattern: Elderberry Juice
extracells:pattern.fluid:0, ME Fluid Pattern: Lemon Juice
extracells:pattern.fluid:0, ME Fluid Pattern: Lime Juice
extracells:pattern.fluid:0, ME Fluid Pattern: Orange Juice
extracells:pattern.fluid:0, ME Fluid Pattern: Peach Juice
extracells:pattern.fluid:0, ME Fluid Pattern: Plum Juice
extracells:pattern.fluid:0, ME Fluid Pattern: Carrot Juice
extracells:pattern.fluid:0, ME Fluid Pattern: Tomato Juice
extracells:pattern.fluid:0, ME Fluid Pattern: Cranberry Juice
extracells:pattern.fluid:0, ME Fluid Pattern: Grapefruit Juice
extracells:pattern.fluid:0, ME Fluid Pattern: Olive Oil
extracells:pattern.fluid:0, ME Fluid Pattern: Pineapple Juice
extracells:pattern.fluid:0, ME Fluid Pattern: Pear Juice
extracells:pattern.fluid:0, ME Fluid Pattern: White Grape Juice
extracells:pattern.fluid:0, ME Fluid Pattern: Red Grape Juice
extracells:pattern.fluid:0, ME Fluid Pattern: Cider
extracells:pattern.fluid:0, ME Fluid Pattern: Apricot Wine
extracells:pattern.fluid:0, ME Fluid Pattern: Banana Wine
extracells:pattern.fluid:0, ME Fluid Pattern: Cherry Wine
extracells:pattern.fluid:0, ME Fluid Pattern: Elderberry Wine
extracells:pattern.fluid:0, ME Fluid Pattern: Peach Cider
extracells:pattern.fluid:0, ME Fluid Pattern: Pear Cider
extracells:pattern.fluid:0, ME Fluid Pattern: Plum Wine
extracells:pattern.fluid:0, ME Fluid Pattern: Carrot Wine
extracells:pattern.fluid:0, ME Fluid Pattern: White Wine
extracells:pattern.fluid:0, ME Fluid Pattern: Red Wine
extracells:pattern.fluid:0, ME Fluid Pattern: Sparkling Wine
extracells:pattern.fluid:0, ME Fluid Pattern: Agave Wine
extracells:pattern.fluid:0, ME Fluid Pattern: Fermented Potatoes
extracells:pattern.fluid:0, ME Fluid Pattern: Citrus Wine
extracells:pattern.fluid:0, ME Fluid Pattern: Cranberry Wine
extracells:pattern.fluid:0, ME Fluid Pattern: Pineapple Wine
extracells:pattern.fluid:0, ME Fluid Pattern: Tomato Wine
extracells:pattern.fluid:0, ME Fluid Pattern: Fruit Wine
extracells:pattern.fluid:0, ME Fluid Pattern: Ale
extracells:pattern.fluid:0, ME Fluid Pattern: Lager
extracells:pattern.fluid:0, ME Fluid Pattern: Wheat Beer
extracells:pattern.fluid:0, ME Fluid Pattern: Rye Beer
extracells:pattern.fluid:0, ME Fluid Pattern: Corn Beer
extracells:pattern.fluid:0, ME Fluid Pattern: Stout
extracells:pattern.fluid:0, ME Fluid Pattern: Fermented Grain Mash
extracells:pattern.fluid:0, ME Fluid Pattern: Fermented Wheat Mash
extracells:pattern.fluid:0, ME Fluid Pattern: Fermented Rye Mash
extracells:pattern.fluid:0, ME Fluid Pattern: Fermented Corn Mash
extracells:pattern.fluid:0, ME Fluid Pattern: Neutral Spirit
extracells:pattern.fluid:0, ME Fluid Pattern: Vodka
extracells:pattern.fluid:0, ME Fluid Pattern: White Rum
extracells:pattern.fluid:0, ME Fluid Pattern: Dark Rum
extracells:pattern.fluid:0, ME Fluid Pattern: Whiskey
extracells:pattern.fluid:0, ME Fluid Pattern: Bourbon
extracells:pattern.fluid:0, ME Fluid Pattern: Rye Whiskey
extracells:pattern.fluid:0, ME Fluid Pattern: Wheat Whiskey
extracells:pattern.fluid:0, ME Fluid Pattern: Fortified Wine
extracells:pattern.fluid:0, ME Fluid Pattern: Tequila
extracells:pattern.fluid:0, ME Fluid Pattern: Brandy
extracells:pattern.fluid:0, ME Fluid Pattern: Apple Brandy
extracells:pattern.fluid:0, ME Fluid Pattern: Pear Brandy
extracells:pattern.fluid:0, ME Fluid Pattern: Apricot Brandy
extracells:pattern.fluid:0, ME Fluid Pattern: Plum Brandy
extracells:pattern.fluid:0, ME Fluid Pattern: Cherry Brandy
extracells:pattern.fluid:0, ME Fluid Pattern: Elderberry Brandy
extracells:pattern.fluid:0, ME Fluid Pattern: Citrus Brandy
extracells:pattern.fluid:0, ME Fluid Pattern: Fruit Brandy
extracells:pattern.fluid:0, ME Fluid Pattern: Cachaca
extracells:pattern.fluid:0, ME Fluid Pattern: Gin
extracells:pattern.fluid:0, ME Fluid Pattern: Apple Liquor
extracells:pattern.fluid:0, ME Fluid Pattern: Pear Liquor
extracells:pattern.fluid:0, ME Fluid Pattern: Cherry Liquor
extracells:pattern.fluid:0, ME Fluid Pattern: Elderberry Liquor
extracells:pattern.fluid:0, ME Fluid Pattern: Apricot Liquor
extracells:pattern.fluid:0, ME Fluid Pattern: Fruit Liquor
extracells:pattern.fluid:0, ME Fluid Pattern: Almond Liqueur
extracells:pattern.fluid:0, ME Fluid Pattern: Orange Liqueur
extracells:pattern.fluid:0, ME Fluid Pattern: Banana Liqueur
extracells:pattern.fluid:0, ME Fluid Pattern: Chocolate Liqueur
extracells:pattern.fluid:0, ME Fluid Pattern: Mint Liqueur
extracells:pattern.fluid:0, ME Fluid Pattern: Hazelnut Liqueur
extracells:pattern.fluid:0, ME Fluid Pattern: Cinnamon Liqueur
extracells:pattern.fluid:0, ME Fluid Pattern: Coffee Liqueur
extracells:pattern.fluid:0, ME Fluid Pattern: Melon Liqueur
extracells:pattern.fluid:0, ME Fluid Pattern: Anise Liqueur
extracells:pattern.fluid:0, ME Fluid Pattern: Peach Liqueur
extracells:pattern.fluid:0, ME Fluid Pattern: Lemon Liqueur
extracells:pattern.fluid:0, ME Fluid Pattern: Herbal Liqueur
extracells:pattern.fluid:0, ME Fluid Pattern: Cherry Liqueur
extracells:pattern.fluid:0, ME Fluid Pattern: Blackcurrant Liqueur
extracells:pattern.fluid:0, ME Fluid Pattern: Blackberry Liqueur
extracells:pattern.fluid:0, ME Fluid Pattern: Raspberry Liqueur
extracells:pattern.fluid:0, ME Fluid Pattern: Quicksand
extracells:pattern.fluid:0, ME Fluid Pattern: Honey
extracells:pattern.fluid:0, ME Fluid Pattern: Blood
extracells:pattern.fluid:0, ME Fluid Pattern: Hot Spring Water
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Blood Infused Iron
extracells:pattern.fluid:0, ME Fluid Pattern: Fluided Mana
extracells:pattern.fluid:0, ME Fluid Pattern: Evil Infused Iron
extracells:pattern.fluid:0, ME Fluid Pattern: Enchanted Metal
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Demon Metal
extracells:pattern.fluid:0, ME Fluid Pattern: Mutagen
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid DNA
extracells:pattern.fluid:0, ME Fluid Pattern: Protein
extracells:pattern.fluid:0, ME Fluid Pattern: Crystal Water
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Fire Dragonsteel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Ice Dragonsteel
extracells:pattern.fluid:0, ME Fluid Pattern: Essence
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Meat
extracells:pattern.fluid:0, ME Fluid Pattern: Latex
extracells:pattern.fluid:0, ME Fluid Pattern: Sewage
extracells:pattern.fluid:0, ME Fluid Pattern: Sludge
extracells:pattern.fluid:0, ME Fluid Pattern: Biofuel
extracells:pattern.fluid:0, ME Fluid Pattern: Pink Slime
extracells:pattern.fluid:0, ME Fluid Pattern: Protein
extracells:pattern.fluid:0, ME Fluid Pattern: Raw Ore Meat
extracells:pattern.fluid:0, ME Fluid Pattern: Fermented Ore Meat
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Soulium
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Base Essence
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Inferium
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Prudentium
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Intermedium
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Superium
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Supremium
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Reinforced Pink Slime
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Mithril
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Refined Obsidian
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Refined Glowstone
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Osmium
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Manasteel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Terrasteel
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Elementium
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Gaia Spirit
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Yellorium
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Cyanite
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Blutonium
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Ludicrite
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Psimetal
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Ivory Psimetal
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Ebony Psimetal
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Fluxed Electrum
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Refined Iron
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Tungsten
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Titanium
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Chrome
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Advanced Alloy
extracells:pattern.fluid:0, ME Fluid Pattern: fluid.pure_matter
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Alkimium
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Bismuth
extracells:pattern.fluid:0, ME Fluid Pattern: Boiling Wheat Wort
extracells:pattern.fluid:0, ME Fluid Pattern: Boiling Potato Juice
extracells:pattern.fluid:0, ME Fluid Pattern: Boiling Verdigris
extracells:pattern.fluid:0, ME Fluid Pattern: Boiling Beetroot Soup
extracells:pattern.fluid:0, ME Fluid Pattern: Ale
extracells:pattern.fluid:0, ME Fluid Pattern: Potato Vodka
extracells:pattern.fluid:0, ME Fluid Pattern: Inner Fire Ale
extracells:pattern.fluid:0, ME Fluid Pattern: Umber Ale [WIP]
extracells:pattern.fluid:0, ME Fluid Pattern: Pyroligneous Spirit
extracells:pattern.fluid:0, ME Fluid Pattern: Absinthe
extracells:pattern.fluid:0, ME Fluid Pattern: Snowpoff Vodka
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Antimony
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Sugar
extracells:pattern.fluid:0, ME Fluid Pattern: Pyrofluid
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Air Infused Thaumium
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Fire Infused Thaumium
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Water Infused Thaumium
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Earth Infused Thaumium
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Order Infused Thaumium
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Entropy Infused Thaumium
extracells:pattern.fluid:0, ME Fluid Pattern: Mana
extracells:pattern.fluid:0, ME Fluid Pattern: Nacre
extracells:pattern.fluid:0, ME Fluid Pattern: Nutrient Distillation
extracells:pattern.fluid:0, ME Fluid Pattern: Dew of the Void
extracells:pattern.fluid:0, ME Fluid Pattern: Vapor of Levity
extracells:pattern.fluid:0, ME Fluid Pattern: Hootch
extracells:pattern.fluid:0, ME Fluid Pattern: Rocket Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Fire Water
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Sunshine
extracells:pattern.fluid:0, ME Fluid Pattern: Cloud Seed
extracells:pattern.fluid:0, ME Fluid Pattern: Concentrated Cloud Seed
extracells:pattern.fluid:0, ME Fluid Pattern: Oxygen
extracells:pattern.fluid:0, ME Fluid Pattern: Hydrogen
extracells:pattern.fluid:0, ME Fluid Pattern: Rocket Fuel
extracells:pattern.fluid:0, ME Fluid Pattern: Nitrogen
extracells:pattern.fluid:0, ME Fluid Pattern: Enriched Lava
extracells:pattern.fluid:0, ME Fluid Pattern: Flux Goo
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Death
extracells:pattern.fluid:0, ME Fluid Pattern: Purifying Fluid
extracells:pattern.fluid:0, ME Fluid Pattern: Seared Stone
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Obsidian
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Clay
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Dirt
extracells:pattern.fluid:0, ME Fluid Pattern: Molten Emerald
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Blue Slime
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Purple Slime
extracells:pattern.fluid:0, ME Fluid Pattern: Life Essence
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Dirt
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Antimatter
extracells:pattern.fluid:0, ME Fluid Pattern: Refined Life Essence
extracells:pattern.fluid:0, ME Fluid Pattern: fluid.fuelcolumn
extracells:pattern.fluid:0, ME Fluid Pattern: Quicksilver
extracells:pattern.fluid:0, ME Fluid Pattern: Liquid Starlight
extracells:terminal.fluid.wireless, item.extracells.terminal.fluid.wireless.name
extracells:storage.component:0, 256k ME Storage Component
extracells:storage.component:1, 1024k ME Storage Component
extracells:storage.component:2, 4096k ME Storage Component
extracells:storage.component:3, 16384k ME Storage Component
extracells:storage.component:4, 1k ME Fluid Storage Component
extracells:storage.component:5, 4k ME Fluid Storage Component
extracells:storage.component:6, 16k ME Fluid Storage Component
extracells:storage.component:7, 64k ME Fluid Storage Component
extracells:storage.component:8, 256k ME Fluid Storage Component
extracells:storage.component:9, 1024k ME Fluid Storage Component
extracells:storage.component:10, 4096k ME Fluid Storage Component
extracells:storage.component:11, 1k ME Gas Storage Component
extracells:storage.component:12, 4k ME Gas Storage Component
extracells:storage.component:13, 16k ME Gas Storage Component
extracells:storage.component:14, 64k ME Gas Storage Component
extracells:storage.component:15, 256k ME Gas Storage Component
extracells:storage.component:16, 1024k ME Gas Storage Component
extracells:storage.component:17, 4096k ME Gas Storage Component
extracells:storage.casing:0, Advanced Storage Housing
extracells:storage.casing:1, Fluid Storage Housing
extracells:storage.casing:2, Gas Storage Housing
extracells:fluid.item, item.extracells.fluid.item.name
extracells:storage.fluid.portable:0, ME Portable Fluid Storage
extracells:storage.fluid.portable:0, ME Portable Fluid Storage
extracells:storage.gas.portable:0, ME Portable Gas Storage
extracells:storage.gas.portable:0, ME Portable Gas Storage
extracells:pattern.crafting, item.extracells.pattern.crafting.name
extracells:terminal.universal.wireless, item.extracells.terminal.universal.wireless.name
extracells:terminal.gas.wireless, item.extracells.terminal.gas.wireless.name
extracells:oc.upgrade:2, ME Upgrade (Tier 1)
extracells:oc.upgrade:1, ME Upgrade (Tier 2)
extracells:oc.upgrade:0, ME Upgrade (Tier 3)
extracells:gas.item, item.extracells.gas.item.name
extracells:certustank, extracells.block.certustank.name
extracells:walrus, Walrus
extracells:fluidcrafter, ME Fluid Assembler
extracells:ecbaseblock, ME Fluid Interface
extracells:fluidfiller, ME Fluid Auto Filler
extracells:hardmedrive, Blast resistant ME Drive
extracells:vibrantchamberfluid, Fluid Vibration Chamber
extrautils2:snowglobe:0, Magical Snow Globe
extrautils2:snowglobe:1, Magical Snow Globe
extrautils2:wateringcan, Watering Can
extrautils2:itemcreativedestructionwand, Creative Destruction Wand
extrautils2:unstableingots:0, Unstable Ingot
extrautils2:unstableingots:1, Stable-'Unstable Nugget'
extrautils2:unstableingots:2, Stable-'Unstable Ingot'
extrautils2:itembuilderswand, Builders Wand
extrautils2:itemdestructionwand, Destruction Wand
extrautils2:itemcreativebuilderswand, Creative Builders Wand
extrautils2:soundmuffler, Sound Muffler
extrautils2:enderlilly, Ender Lilly
extrautils2:decorativesolidwood:0, Magical Planks
extrautils2:decorativesolidwood:1, Magical Wood
extrautils2:decorativesolidwood:2, Diagonal Wood
extrautils2:trashcan, Trash Can
extrautils2:trashcanfluid, Trash Can (Fluid)
extrautils2:trashcanenergy, Trash Can (Energy)
extrautils2:angelblock, Angel Block
extrautils2:passivegenerator:0, Solar Panel
extrautils2:passivegenerator:1, Lunar Panel
extrautils2:passivegenerator:2, Lava Mill
extrautils2:passivegenerator:3, Water Mill
extrautils2:passivegenerator:4, Wind Mill
extrautils2:passivegenerator:5, Fire Mill
extrautils2:passivegenerator:6, Creative Mill
extrautils2:passivegenerator:7, Manual Mill
extrautils2:passivegenerator:8, Dragon Egg Mill
extrautils2:supermobspawner, Resturbed Mob Spawner
extrautils2:cursedearth, Cursed Earth
extrautils2:redstoneclock, Redstone Clock
extrautils2:compressedcobblestone:0, Compressed Cobblestone
extrautils2:compressedcobblestone:1, Double Compressed Cobblestone
extrautils2:compressedcobblestone:2, Triple Compressed Cobblestone
extrautils2:compressedcobblestone:3, Quadruple Compressed Cobblestone
extrautils2:compressedcobblestone:4, Quintuple Compressed Cobblestone
extrautils2:compressedcobblestone:5, Sextuple Compressed Cobblestone
extrautils2:compressedcobblestone:6, Septuple Compressed Cobblestone
extrautils2:compressedcobblestone:7, Octuple Compressed Cobblestone
extrautils2:compresseddirt:0, Compressed Dirt
extrautils2:compresseddirt:1, Double Compressed Dirt
extrautils2:compresseddirt:2, Triple Compressed Dirt
extrautils2:compresseddirt:3, Quadruple Compressed Dirt
extrautils2:compressedsand:0, Compressed Sand
extrautils2:compressedsand:1, Double Compressed Sand
extrautils2:compressedgravel:0, Compressed Gravel
extrautils2:compressedgravel:1, Double Compressed Gravel
extrautils2:compressednetherrack:0, Compressed Netherrack
extrautils2:compressednetherrack:1, Double Compressed Netherrack
extrautils2:compressednetherrack:2, Triple Compressed Netherrack
extrautils2:compressednetherrack:3, Quadruple Compressed Netherrack
extrautils2:compressednetherrack:4, Quintuple Compressed Netherrack
extrautils2:compressednetherrack:5, Sextuple Compressed Netherrack
extrautils2:glasscutter, Glass Cutter
extrautils2:endershard, Ender Shard
extrautils2:redorchid, Red Orchid
extrautils2:sickle_wood, Wooden Sickle
extrautils2:sickle_stone, Stone Sickle
extrautils2:sickle_iron, Iron Sickle
extrautils2:sickle_gold, Golden Sickle
extrautils2:sickle_diamond, Diamond Sickle
extrautils2:poweroverload, Power Overload
extrautils2:resonator, Resonator
extrautils2:suncrystal, Sun Crystal
extrautils2:spotlight, Spotlight
extrautils2:screen, Screen
extrautils2:decorativesolid:0, Border Stone
extrautils2:decorativesolid:1, Crossed Stone
extrautils2:decorativesolid:2, Polished Stone
extrautils2:decorativesolid:3, Stoneburnt
extrautils2:decorativesolid:4, Sandy Glass
extrautils2:decorativesolid:5, Truchet
extrautils2:decorativesolid:6, Blue Quartz
extrautils2:decorativesolid:7, Quartzburnt
extrautils2:decorativesolid:8, Rainbow Stone
extrautils2:ingredients:0, Resonating Redstone Crystal
extrautils2:ingredients:1, Redstone Gear
extrautils2:ingredients:2, Eye of Redstone
extrautils2:ingredients:3, Lunar Reactive Dust
extrautils2:ingredients:4, Red Coal
extrautils2:ingredients:5, Moon Stone
extrautils2:ingredients:6, Upgrade Speed
extrautils2:ingredients:7, Upgrade Stack
extrautils2:ingredients:8, Upgrade Mining
extrautils2:ingredients:9, Upgrade Base
extrautils2:ingredients:10, Drop of Evil
extrautils2:ingredients:11, Demon Ingot
extrautils2:ingredients:12, Enchanted Ingot
extrautils2:ingredients:13, Wireless RF Heating Coil
extrautils2:ingredients:14, Blue Dye
extrautils2:ingredients:15, Upgrade Speed (Magical)
extrautils2:ingredients:16, Upgrade Speed (Ultimate)
extrautils2:ingredients:17, Evil Infused Iron Ingot
extrautils2:goldenlasso:0, Golden Lasso
extrautils2:goldenlasso:1, Cursed Lasso
extrautils2:chickenring:0, Chicken Wing Ring
extrautils2:chickenring:1, Ring of the Flying Squid
extrautils2:angelring:0, Angel Ring
extrautils2:angelring:1, Angel Ring
extrautils2:angelring:2, Angel Ring
extrautils2:angelring:3, Angel Ring
extrautils2:angelring:4, Angel Ring
extrautils2:angelring:5, Angel Ring
extrautils2:powermanager, Power Manager
extrautils2:bagofholding, Bag Of Holding
extrautils2:decorativeglass:0, Thickened Glass
extrautils2:decorativeglass:1, Thickened Glass (Bordered)
extrautils2:decorativeglass:2, Thickened Glass (Patterned)
extrautils2:decorativeglass:3, Dark Glass
extrautils2:decorativeglass:4, Glowing Glass
extrautils2:decorativeglass:5, Redstone Glass
extrautils2:ineffableglass:0, Ethereal Glass
extrautils2:ineffableglass:1, Reverse Ethereal Glass
extrautils2:ineffableglass:2, Ineffable Glass
extrautils2:ineffableglass:3, Dark Ineffable Glass
extrautils2:pipe, Transfer Pipe
extrautils2:playerchest, Player Chest
extrautils2:wrench, Wrench
extrautils2:boomerang, Magical Boomerang
extrautils2:book, Extra Utilities 2 Manual
extrautils2:contract, Contract
extrautils2:chunkloader, Chunk Loading Ward
extrautils2:filter, Filter
extrautils2:filterfluids, Filter Fluids
extrautils2:grocket:0, Transfer Node (Items)
extrautils2:grocket:1, Transfer Filter
extrautils2:grocket:2, Transfer Node (Fluids)
extrautils2:grocket:3, Retrieval Node (Items)
extrautils2:grocket:4, Retrieval Node (Fluids)
extrautils2:grocket:5, Transfer Pipe Filter
extrautils2:grocket:6, Transfer Node (Energy)
extrautils2:indexer, Indexer
extrautils2:indexerremote, Indexer Remote
extrautils2:crafter, Mechanical Crafter
extrautils2:scanner, Scanner
extrautils2:miner, Mechanical Miner
extrautils2:user, Mechanical User
extrautils2:klein:0, Klein Bottle
extrautils2:drum:0, Stone Drum
extrautils2:drum:1, Iron Drum
extrautils2:drum:2, Reinforced Large Drum
extrautils2:drum:3, Demonically Gargantuan Drum
extrautils2:drum:4, Creative Drum
extrautils2:machine:0, Machine Block
extrautils2:machine:0, Furnace
extrautils2:machine:0, Crusher
extrautils2:machine:0, Enchanter
extrautils2:machine:0, Survival Generator
extrautils2:machine:0, Furnace Generator
extrautils2:machine:0, Culinary Generator
extrautils2:machine:0, Magmatic Generator
extrautils2:machine:0, Heated Redstone Generator
extrautils2:machine:0, Ender Generator
extrautils2:machine:0, Potion Generator
extrautils2:machine:0, Pink Generator
extrautils2:machine:0, Overclocked Generator
extrautils2:machine:0, Explosive Generator
extrautils2:machine:0, Netherstar Generator
extrautils2:machine:0, Halitosis Generator
extrautils2:machine:0, Frosty Generator
extrautils2:machine:0, Death Generator
extrautils2:machine:0, Dischantment Generator
extrautils2:machine:0, Slimey Generator
extrautils2:teleporter:0, Overworld Portal
extrautils2:teleporter:1, Deep Dark Portal
extrautils2:powertransmitter, Wireless RF Transmitter
extrautils2:powerbattery, Wireless RF Battery
extrautils2:quarryproxy, Quantum Quarry Actuator
extrautils2:quarry, Quantum Quarry
extrautils2:spike_wood, Wooden Spikes
extrautils2:spike_stone, Stone Spikes
extrautils2:spike_iron, Iron Spikes
extrautils2:spike_gold, Golden Spikes
extrautils2:spike_diamond, Diamond Spikes
extrautils2:spike_creative, Creative Spikes
extrautils2:redstonelantern, Redstone Lantern
extrautils2:largishchest, Slightly-Larger Chest
extrautils2:minichest, Mini Chest
extrautils2:rainbowgenerator:0, Rainbow Generator!
extrautils2:rainbowgenerator:1, Rainbow Generator (bottom half)
extrautils2:rainbowgenerator:2, Rainbow Generator (top half)
extrautils2:magicapple, Magical Apple
extrautils2:simpledecorative:0, Block of Enchanted Metal
